Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EK,Livestock Patterns,165,Pakistan,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.17,Fc,Calculated data
EK,Livestock Patterns,299,Palestina,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.06,Fc,Calculated data
EK,Livestock Patterns,166,Panama,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,168,Papua New Guinea,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,169,Paraguay,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,170,Peru,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,171,Philippines,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.03,Fc,Calculated data
EK,Livestock Patterns,173,Poland,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,174,Portugal,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,177,Puerto Rico,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,179,Qatar,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.26,Fc,Calculated data
EK,Livestock Patterns,117,South Korea,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,146,Moldova,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,183,Romania,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,185,Russia,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,184,Rwanda,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.15,Fc,Calculated data
EK,Livestock Patterns,188,Saint Kitts and Nevis,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.16,Fc,Calculated data
EK,Livestock Patterns,189,Saint Lucia,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.09,Fc,Calculated data
EK,Livestock Patterns,191,Saint Vincent and the Grenadines,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.12,Fc,Calculated data
EK,Livestock Patterns,193,Sao Tome and Principe,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,194,Saudi Arabia,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,195,Senegal,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.05,Fc,Calculated data
EK,Livestock Patterns,272,Serbia,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,196,Seychelles,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.22,Fc,Calculated data
EK,Livestock Patterns,197,Sierra Leone,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.02,Fc,Calculated data
EK,Livestock Patterns,200,Singapore,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.09,Fc,Calculated data
EK,Livestock Patterns,199,Slovakia,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,198,Slovenia,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,201,Somalia,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.03,Fc,Calculated data
EK,Livestock Patterns,202,South Africa,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,203,Spain,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,38,Sri Lanka,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,206,Sudan,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.03,Fc,Calculated data
EK,Livestock Patterns,207,Suriname,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,211,Switzerland,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,212,Syria,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,208,Tajikistan,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.03,Fc,Calculated data
EK,Livestock Patterns,216,Thailand,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,176,Timor-Leste,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.04,Fc,Calculated data
EK,Livestock Patterns,217,Togo,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.05,Fc,Calculated data
EK,Livestock Patterns,219,Tonga,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.04,Fc,Calculated data
