eco_code,Annual crops,Permanent crops,Pasture,Urban,Extensive forestry,Intensive forestry
AA0405,1.64365017500074E-12,1.57823136421927E-12,1.12088596034403E-12,2.63842971180548E-12,1.85044448983533E-13,6.7559501228687E-13
AA0406,4.75374736535451E-12,4.92645757443106E-12,3.14354447606493E-12,7.96035509441565E-12,5.68015005864935E-13,2.20521342340754E-12
AA0407,4.02532462745125E-11,5.07257152974843E-11,4.62717897206787E-11,NaN,5.78403293161973E-12,2.34268542168987E-11
AA0408,8.10120377930163E-12,9.17391618589062E-12,7.09040850882976E-12,1.51444318778461E-11,9.96516799950163E-13,3.85690561435491E-12
AA0409,4.29633148461506E-12,3.58753851081226E-12,2.15928589255005E-12,6.41558532931013E-12,8.20663432820509E-13,1.99769938569168E-12
AA0410,8.94345849003684E-12,8.74998022736553E-12,4.86134902544655E-12,1.45655637192435E-11,9.52092021549129E-13,3.74484239319421E-12
AA0411,1.39059635955407E-11,1.30176886662501E-11,1.00816724483834E-11,2.69131308621981E-11,2.77725795737195E-12,6.74381571291447E-12
AA0412,1.23362015746119E-11,1.29218648182842E-11,1.07115769171433E-11,2.77950551613629E-11,3.1163631695271E-12,6.79818364782206E-12
AA0413,7.92203150630533E-12,8.2346817373177E-12,6.86670312150082E-12,1.72262329134756E-11,1.95064849724305E-12,4.21272439470573E-12
AA0414,1.00933310422408E-11,1.46052240825212E-11,1.37961912896093E-11,NaN,1.38818828417361E-12,6.29905904701144E-12
AA0701,NaN,NaN,5.63108560603166E-13,1.20900517647743E-12,7.87106730730244E-14,2.70094565659895E-13
AA0702,4.40853069503925E-13,3.93244150580594E-13,3.7196820935847E-13,8.21114092567112E-13,5.77067253511025E-14,1.75457755027997E-13
AA0703,9.36013490408359E-13,8.68772994371387E-13,8.55812537005112E-13,NaN,1.39125335215995E-13,4.20209270596685E-13
AA0704,3.79778682535681E-13,3.48912914112558E-13,3.28095893651531E-13,NaN,5.5598743652469E-14,1.57071093099576E-13
AA0705,9.09189206502089E-13,8.30991193375414E-13,8.44164812539855E-13,1.8148990549828E-12,1.47502230783476E-13,3.62319941976998E-13
AA0706,4.2785826980649E-13,4.17458610609804E-13,3.57734446193381E-13,7.70108486614863E-13,4.97234180300714E-14,1.89543310877225E-13
AA0707,2.70754743053448E-13,2.35666464746281E-13,2.28464236743861E-13,4.87786973410188E-13,3.25118010682716E-14,1.04958912447704E-13
AA0708,3.43765760489237E-12,3.48384416390273E-12,1.51289184540763E-12,5.84969170579521E-12,9.52281044199302E-13,1.94614661760501E-12
AA0709,4.4384287815869E-13,4.11541574676178E-13,3.87029843697604E-13,NaN,5.77857417283357E-14,1.84480101858E-13
AA0801,1.12286684240872E-12,1.09722102293859E-12,5.55545140324121E-13,1.6680540766331E-12,1.41906212215311E-13,5.51198077692312E-13
AA0802,1.3947428449319E-12,1.14747211176956E-12,9.56974424366448E-13,NaN,1.53959164654464E-13,5.75665550871271E-13
AA0803,1.29403122861287E-12,1.04192684357568E-12,8.38543159532648E-13,1.94046026848448E-12,1.66578593233299E-13,5.37829551962157E-13
AA1001,1.67383085012327E-11,1.74777717811902E-11,1.19253616301427E-11,NaN,5.72259730862836E-12,1.02898390876765E-11
AA1002,1.0709294760931E-11,9.55480744005455E-12,9.0975715544755E-12,1.77980733036155E-11,1.85424255930887E-12,6.97339345360161E-12
AA1003,1.37427616318135E-12,1.4442206371707E-12,1.22135440575023E-12,2.37649599342883E-12,1.20608849588633E-13,1.09406842506134E-12
AA1101,NaN,NaN,2.03812008742528E-08,NaN,NaN,NaN
AA1201,2.9912641284539E-12,2.48030799505638E-12,2.36434590620765E-12,4.56839944922873E-12,3.45232294125705E-13,1.22513116080447E-12
AA1202,4.099551329148E-12,3.1002080481748E-12,2.29750594199387E-12,5.47040698063127E-12,5.24003970025032E-13,1.50521554843661E-12
AA1203,8.51675203150957E-12,7.16299816641097E-12,4.19207107800175E-12,1.2482208281007E-11,1.13496872024161E-12,3.80321004520916E-12
AA1204,3.0500804022951E-11,2.59796954034158E-11,2.02885354730872E-11,4.98936453802584E-11,5.47264757624164E-12,1.25274130312784E-11
AA1205,2.74152944877252E-11,2.20447927379879E-11,1.52488204146809E-11,3.98574232307955E-11,3.74376425937215E-12,1.1031082618461E-11
AA1206,2.32905961153267E-11,1.87032885046881E-11,1.01296580797823E-11,3.22778224621403E-11,3.66932177836721E-12,1.0410229422647E-11
AA1207,2.96716601806035E-12,2.4575071347234E-12,1.7032943239112E-12,4.62643101629602E-12,3.78415872309433E-13,1.21934251447663E-12
AA1208,1.7135955673423E-11,1.38935779159105E-11,7.97518119654635E-12,2.4579973044974E-11,2.72256136991878E-12,7.70691451056791E-12
